Pixels,Version,Time
4000000,V0,0.2418
4000000,V1,0.005419
4000000,V2,0.003931
4050000,V0,0.246214
4050000,V1,0.005119
4050000,V2,0.003447
4100000,V0,0.246918
4100000,V1,0.004827
4100000,V2,0.004622
4150000,V0,0.254269
4150000,V1,0.004984
4150000,V2,0.004706
4200000,V0,0.253345
4200000,V1,0.005873
4200000,V2,0.006385
4250000,V0,0.251359
4250000,V1,0.005896
4250000,V2,0.003617
4300000,V0,0.265722
4300000,V1,0.006214
4300000,V2,0.002987
4350000,V0,0.262297
4350000,V1,0.005663
4350000,V2,0.006446
4400000,V0,0.262535
4400000,V1,0.005953
4400000,V2,0.003814
4450000,V0,0.263642
4450000,V1,0.006252
4450000,V2,0.006432
4500000,V0,0.272569
4500000,V1,0.006216
4500000,V2,0.006486
4550000,V0,0.270013
4550000,V1,0.006229
4550000,V2,0.003909
4600000,V0,0.273896
4600000,V1,0.005481
4600000,V2,0.004847
4650000,V0,0.291951
4650000,V1,0.005852
4650000,V2,0.006075
4700000,V0,0.281478
4700000,V1,0.006427
4700000,V2,0.003638
4750000,V0,0.278413
4750000,V1,0.006908
4750000,V2,0.003756
4800000,V0,0.294153
4800000,V1,0.007834
4800000,V2,0.005013
4850000,V0,0.297172
4850000,V1,0.006232
4850000,V2,0.004944
4900000,V0,0.292014
4900000,V1,0.006734
4900000,V2,0.003978
4950000,V0,0.304954
4950000,V1,0.005931
4950000,V2,0.00503
5000000,V0,0.295504
5000000,V1,0.006011
5000000,V2,0.003276
5050000,V0,0.296916
5050000,V1,0.006328
5050000,V2,0.003584
5100000,V0,0.312363
5100000,V1,0.006917
5100000,V2,0.004106
5150000,V0,0.316605
5150000,V1,0.00684
5150000,V2,0.004567
5200000,V0,0.311197
5200000,V1,0.0071
5200000,V2,0.003568
5250000,V0,0.322114
5250000,V1,0.007204
5250000,V2,0.003463
5300000,V0,0.318664
5300000,V1,0.006478
5300000,V2,0.004062
5350000,V0,0.315378
5350000,V1,0.006635
5350000,V2,0.002735
5400000,V0,0.317753
5400000,V1,0.006272
5400000,V2,0.003991
5450000,V0,0.326959
5450000,V1,0.00693
5450000,V2,0.005991
5500000,V0,0.334872
5500000,V1,0.007036
5500000,V2,0.005441
5550000,V0,0.331879
5550000,V1,0.008397
5550000,V2,0.006527
5600000,V0,0.342404
5600000,V1,0.00666
5600000,V2,0.002838
5650000,V0,0.331794
5650000,V1,0.006789
5650000,V2,0.005402
5700000,V0,0.33611
5700000,V1,0.007092
5700000,V2,0.003108
5750000,V0,0.336301
5750000,V1,0.007836
5750000,V2,0.004403
5800000,V0,0.349303
5800000,V1,0.008028
5800000,V2,0.004253
5850000,V0,0.346817
5850000,V1,0.006869
5850000,V2,0.004195
5900000,V0,0.351589
5900000,V1,0.008757
5900000,V2,0.009901
5950000,V0,0.356865
5950000,V1,0.008021
5950000,V2,0.004679
6000000,V0,0.362696
6000000,V1,0.008327
6000000,V2,0.00467
6050000,V0,0.365852
6050000,V1,0.00802
6050000,V2,0.007953
6100000,V0,0.370676
6100000,V1,0.008239
6100000,V2,0.007451
6150000,V0,0.378203
6150000,V1,0.009085
6150000,V2,0.006228
6200000,V0,0.36726
6200000,V1,0.008253
6200000,V2,0.003933
6250000,V0,0.377743
6250000,V1,0.008658
6250000,V2,0.008015
6300000,V0,0.383047
6300000,V1,0.008708
6300000,V2,0.003488
6350000,V0,0.371598
6350000,V1,0.008386
6350000,V2,0.004423
6400000,V0,0.375331
6400000,V1,0.01087
6400000,V2,0.005875
6450000,V0,0.376947
6450000,V1,0.008207
6450000,V2,0.004555
